titles,subtitles,links
SN-OZ FEST,Australia and Paraguay play out 'worst match in World Cup history' – with disastrous consequences for Scotland,https://www.thesun.co.uk/sport/39549890/fans-claim-draw-worst-world-cup-australia-paraguay/
SPIDER-SEB,Ecuador boss 'goes full Spider-Man' & climbs into stands to hug family,https://www.thesun.co.uk/sport/39548050/ecuador-sebastian-beccacece-world-cup-germany/
TUCH AND GO,England World Cup star breaks silence on Thomas Tuchel snub,https://www.thesun.co.uk/sport/39550042/england-eberechi-eze-thomas-tuchel-snub-world-cup/
WHAT'S HUPPEN-ING,Stunning World Cup presenter fires warning message to England and Co,https://www.thesun.co.uk/sport/39550136/world-cup-presenter-mexican-vanessa-huppenkothen-england/
WAITING GAME,Scotland's World Cup Last 32 round plummet as supercomputer gives verdict,https://www.thesun.co.uk/sport/39480054/supercomputer-scotland-world-cup-qualifying-group/
BRAZIL'S NUTS,Brazil make official complaint after only beating Scotland 3-0 in group clash,https://www.thesun.co.uk/sport/39550301/brazil-official-complaint-scotland-world-cup-vini-jr-argentina/
ELL TO PAY,Man City strike club record £116m deal for Elliot Anderson with England World Cup and Forest star set for medical,https://www.thesun.co.uk/sport/39547124/man-city-agree-elliot-anderson-transfer/
TURKEY 3 USA 2,Kaan Ayhan scores winner in last kick of game to salvage World Cup pride,https://www.thesun.co.uk/sport/39550086/kaan-ayhan-winner-salvages-turkey-world-cup-pride/
TUNISIA 1 HOLLAND 3,Koeman fuming after second half delayed as Tunisia send ten players out,https://www.thesun.co.uk/sport/39548307/ronald-koeman-tunisia-ten-players-netherlands/
JAPAN 1 SWEDEN 1,Elanga's stunning equaliser ensures both sides progress,https://www.thesun.co.uk/sport/39548816/japan-sweden-world-cup-anthony-elanga-goal/
WOOD YOU BELIEVE IT,ITV coverage interrupted as Laura Woods left shocked during World Cup,https://www.thesun.co.uk/sport/39549696/itv-world-cup-interrupted-fireworks-laura-woods-terrified/
CURACAO 0 IVORY COAST 2,Brave minnows exit World Cup after heartbreaking loss,https://www.thesun.co.uk/sport/39547767/curacao-ivory-coast-world-cup-report/
ECUADOR 2 GERMANY 1,Scotland in cruel blow as late winner leaves them on brink,https://www.thesun.co.uk/sport/39547727/ecuador-germany-scotland-world-cup-gonzalo-plata/
LIONS DOWN,Key England pair MISS training just days before World Cup clash against Panama,https://www.thesun.co.uk/sport/39549638/england-world-cup-panama-injury-declan-rice-reece-james/
CANAL CRUISE CONTROL,Get England at 50/1 to win against Panama | Sky Bet World Cup offer,https://www.thesun.co.uk/sport/39541366/england-vs-panama-odds-sky-bet-world-cup-offer/
WHAT WORLD CUP?,The England Wags having a ball on holiday after their men missed out from Cole Palmer's girlfriend to Phil Foden's wife,https://www.thesun.co.uk/sport/39545363/england-wags-holiday-after-men-miss-out/
POWER OFFER,Get £50 in free Bet Builder bets with Paddy Power when you bet £10,https://www.thesun.co.uk/sport/39316678/world-cup-free-bets-paddy-power-promo-code/
MEGA DEAL,World Cup 2026: Get £20 in free bets and 3 x 200% Odds Boosts with talkSPORT BET,https://www.thesun.co.uk/sport/39287108/talksport-bet-world-cup-welcome-offer-free-bets/
WORLDIE OFFERS,World Cup 2026 free bets and offers: Best new football sign-up deals,https://www.thesun.co.uk/sport/39273117/world-cup-2026-free-bets-sign-up-offers/
BUCKING AROUND,Premier League's hottest Wag enjoys boozy night out at World Cup and ends up riding a mechanical bull,https://www.thesun.co.uk/sport/39544878/maja-victor-lindelof-wife-sweden-world-cup-dallas/
'WHAT THE HELL',World Cup team forced to train in backdrop of 'demolition gone wrong',https://www.thesun.co.uk/sport/39548466/world-cup-sweden-training-fc-dallas-toyota-stadium/
PALMED OFF,Cole Palmer breaks silence on World Cup snub and insists 'I'm not crying',https://www.thesun.co.uk/sport/39544660/cole-palmer-breaks-silence-england-world-cup-snub/
SCOUT'S HONOUR,Spurs poach League One academy mastermind in bid to find next Kane,https://www.thesun.co.uk/sport/39543415/tottenham-poach-league-one-academy-mastermind-next-harry-kane/
FOOD FIGHT,Fuming MOTD stars forced to eat in BBC canteen after Nando's takeaways AXED,https://www.thesun.co.uk/sport/39546169/match-of-the-day-stars-forced-eat-canteen/
FIT FOR A KING,Sunderland release new Elvis Presley-inspired kit ahead of Europa League,https://www.thesun.co.uk/sport/39540512/sunderland-elvis-presley-away-kit/
DEALS ON WHEELS,"Transfer news LIVE: Man City 'AGREE deal' for Anderson, Tottenham look to HIJACK Fernandes deal, Chelsea 'eye' Lacroix",https://www.thesun.co.uk/sport/39415879/transfer-news-live-tottenham-anderson-man-city-tottenham-chelsea/
CAD ALL OVER,Play legendary Jack Nicklaus course in Cadiz with 7 nights from just £999pp,https://www.thesun.co.uk/sport/38772431/golf-holiday-jack-nicklaus-cadiz-montecastillo-barcelo-andalucia/
PATRIOT GAMES,"See New England Patriots with tickets and Boston hotel deals from £1,350pp",https://www.thesun.co.uk/sport/39542268/nfl-new-england-patriots-tickets-boston-hotel-packages/
GOAT & BOAT,"See Lionel Messi with Inter Miami ticket and Caribbean cruise from just £1,479",https://www.thesun.co.uk/sport/39491917/lionel-messi-inter-miami-tickets-cruise-caribbean-holiday/
BRITS ABROAD,"Meet the English Wags cheering on RIVAL teams at World Cup, from reality TV star to Mbappe's ex and glam footballer",https://www.thesun.co.uk/sport/39537487/english-wags-rival-teams-world-cup-mbappe/
DUCK OFF,Infamous World Cup duck banned from stadium for Mexico clash in Fifa clamp down,https://www.thesun.co.uk/sport/39545064/world-cup-duck-merlin-banned-mexico-czech-republic-fifa/
CZECH-ING OUT,World Cup ace announces retirement aged 30 after seeing side exit group stage,https://www.thesun.co.uk/sport/39546057/world-cup-patrik-schick-retirement-czechia/
LOOKING AT ME,Sabrina Carpenter spotted with binoculars at World Cup clash for huge shock,https://www.thesun.co.uk/sport/39549308/sabrina-carpenter-binoculars-world-cup-ecuador-germany/
BEEB BRAVERY,BBC presenter reveals he suffered  seizure live on air at World Cup in Mexico,https://www.thesun.co.uk/sport/39546742/bbc-presenter-suffered-epileptic-seizure-live-on-air/
WILL POWER,Saliba reveals horror start at Arsenal and clubs he had no intention of joining,https://www.thesun.co.uk/sport/39542428/saliba-arsenal-transfer-newcastle-crystal-palace/
PIC OF THE BUNCH,"Arsenal files: Gunners appoint Olympic sprinter, Ben White's recovery plans & £35k season-ticket queue jump",https://www.thesun.co.uk/sport/39542362/arsenal-files-medical-olympic-sprinter-ben-white/
HAMMER DOWN,EFL fixtures confirmed as West Ham handed hardest start to Championship life,https://www.thesun.co.uk/sport/39538166/efl-fixtures-west-ham-championship/
ALL GONE SOUTH,World Cup clash boils over as players celebrate before Fifa chiefs step in,https://www.thesun.co.uk/sport/39550283/world-cup-fifa-official-south-korea-south-africa/
HAMMER BLOW,Carabao Cup first round draw confirmed as West Ham land tricky Portsmouth tie,https://www.thesun.co.uk/sport/39543634/carabao-cup-draw-west-ham-portsmouth-wrexham/
FOR FOD'S SAKE,Lily Phillips hits back at Phil Foden's girlfriend after she was shooed away,https://www.thesun.co.uk/tvandshowbiz/39535849/lily-phillips-hits-back-phil-foden-girlfriend-shooed-degrading/
GOLDEN GOAL,Panama vs England: Get 50/1 for goal to be scored in Group L tie | Paddy Power,https://www.thesun.co.uk/sport/39540803/panama-england-world-cup-goal-paddy-power-odds/
WELCOME PLAYER,Join Sun Vegas now and claim a 100% deposit match bonus and 100 free spins,https://www.thesun.co.uk/sun-bingo/33772563/join-sun-vegas-deposit-match-bonus-free-spins-new-player/
TOP DEALS,Best casino bonus and welcome offers for UK players (June 2026),https://www.thesun.co.uk/betting/34614926/best-casino-sign-up-bonus/
RATED,20 Best Online Casinos UK (2026): Top Rated UKGC Sites,https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
CROCODILE BLOCK,World Cup fan fest left deserted after being built in middle of CROCODILE SWAMP with 15ft critters that attack humans,https://www.thesun.co.uk/sport/39536491/world-cup-fan-fest-cancun-deserted-crocodile-swamp/
DIL BREAKER,World Cup presenter Diletta Leotta puts on mind-blowing display in black bikini,https://www.thesun.co.uk/sport/39535687/world-cup-news-diletta-leotta-instagram/
WORLD CUP 3RD PLACE TABLE,Latest standings as group stage reaches thrilling climax,https://www.thesun.co.uk/sport/39468710/world-cup-3rd-place-table-live-latest-standings/
'WASN'T ON MY BINGO CARD',Fans stunned at which celeb presented match ball for USA clash,https://www.thesun.co.uk/sport/39549729/usa-turkey-world-cup-paris-hilton/
FINAL CALL,'Time traveller' claims he's been to World Cup final and reveals shock winner,https://www.thesun.co.uk/sport/39542453/time-traveller-claims-world-cup-final-shock-winner/
CLEAR TO SEA,England legend Seaman singles out Three Lions star 'just as valuable as Kane',https://www.thesun.co.uk/sport/39537923/david-seaman-jordan-pickford-england-harry-kane/
JEREMY CLARKSON,My expert take on England v Ghana? It was BORING. But lucky for you I've got David Beckham's analysis to share instead,https://www.thesun.co.uk/sport/39530269/england-v-ghana-boring-jeremy-clarkson/
KLOPP OUT,Fuming Klopp storms out of World Cup interview after taking issue with question,https://www.thesun.co.uk/sport/39535564/world-cup-news-jurgen-klopp-interview-schweinsteiger-african-football/
MEX APPEAL,"France World Cup star, 40, hero in Mexico with ranch featuring own water park",https://www.thesun.co.uk/sport/39548331/andre-pierre-gignac-ranch-mexico-waterpark-cinema/
PARTEY BAN THREAT,Thomas Partey faces being blocked from Ghana World Cup knockout clash,https://www.thesun.co.uk/sport/39540120/thomas-partey-canada-world-cup-ghana-fa-rape-trial/
YES WE CAN,Get the beers in for England v Panama with huge Sainsbury's deals on top brands,https://www.thesun.co.uk/sport/39540522/world-cup-beers-deals-barbecues-england-panama-sainsburys/
EASY WIN,Get top deals on TVs including Samsung & LG for World Cup with lowest ever prices,https://www.thesun.co.uk/sport/39372725/samsung-tv-deals-argos-world-cup-kick-off/
TROPHY LIFE,Fans can get their hands on World Cup trophy thanks to LEGO's brilliant replica,https://www.thesun.co.uk/sport/39512083/football-fans-world-cup-trophy-lego-replica-bonus/
TOTT TOO SHABBY,Spurs owners inject another £100m into coffers as De Zerbi targets trio,https://www.thesun.co.uk/sport/39545844/tottenham-owners-enic-roberto-de-zerbi-transfer-news/
GUI-ME MORE,Arsenal in Guimaraes talks as Newcastle REJECT fresh Spurs Tonali approach,https://www.thesun.co.uk/sport/39545907/arsenal-bruno-guimaraes-talks-newcastle-reject-tottenham/
PIER WE GO,Arsenal confirm first summer transfer as Hincapie deal made permanent for £35m,https://www.thesun.co.uk/sport/39541308/arsenal-confirm-piero-hincapie-deal/
ON HIS WAY OUT,Man Utd misfit Andre Onana agrees to rejoin Trabzonspor on SECOND loan deal,https://www.thesun.co.uk/sport/39544550/man-utd-andre-onana-rejoin-trabzonspor-loan-transfer/
ENZ OF THE ROAD?,Cucurella urges Enzo Fernandez to QUIT Chelsea and join him at Real Madrid,https://www.thesun.co.uk/sport/39530200/marc-cucurella-enzo-fernandez-chelsea-real-madrid/
MORGUNN ROGERS,Why £100m Arsenal target Morgan Rogers ticks every box for Mikel Arteta,https://www.thesun.co.uk/sport/39513013/arsenal-target-morgan-rogers-mikel-arteta-declan-rice/
MAN UTD NEWS,"Fernandes wage war, Red Devils in Brobbey 'battle', Onana seals move",https://www.thesun.co.uk/sport/39415482/man-utd-transfer-news-live-fernandes-brobbey-onana-updates/
ARSENAL NEWS,"Guimaraes SHOCK talks, Rogers 'WANTS' Gunners move, Alvarez BOOST",https://www.thesun.co.uk/sport/39415117/arsenal-transfer-news-live-guimaraes-rogers-alvarez-updates/
